archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,7728,698
sources,10,13291,4
sources,10,1307,4
sources,10,914,4
sources,10,866,4
sources,10,847,4
sources,10,819,4
sources,10,829,4
sources,10,813,4
sources,10,822,4
sources,10,811,4
sources,10,830,4
sources,10,839,4
sources,10,838,4
sources,10,818,4
sources,10,860,4
sources,10,816,4
sources,10,817,4
sources,10,863,4
sources,10,809,4
sources,10,819,4
sources,10,827,4
sources,10,829,4
sources,10,835,4
sources,10,813,4
sources,10,827,4
sources,10,824,4
sources,10,831,4
sources,10,831,4
sources,10,828,4
sources,10,819,4
sources,10,13096,46
sources,10,1505,46
